Payment_ID,Tenant_ID,Unit_ID,Ledger_Year,Month_Number,Month_Name,Due_Date,Prior_2022_Balance,Amount_Due,Amount_Paid,Past_Due_Balance,Payment_Date,Days_Past_Due,Is_Late_After_Grace,Payment_Status
PAY-TEN-BLDG_01-1A-001-03,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,3,March,01/03/2023,1200,1456.67,1456.67,813.34,01/03/2023,0,0,Paid
PAY-TEN-BLDG_01-1A-001-06,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,6,June,01/06/2023,1200,1456.67,1456.67,813.34,02/06/2023,1,0,Paid
PAY-TEN-BLDG_01-1A-001-10,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,10,October,01/10/2023,1200,1456.67,1456.67,813.34,02/10/2023,1,0,Paid
PAY-TEN-BLDG_01-1A-001-01,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,1,January,01/01/2023,1200,1456.67,1500,1156.67,03/01/2023,2,0,Paid
PAY-TEN-BLDG_01-1A-001-02,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,2,February,01/02/2023,1200,1456.67,1800,813.34,05/02/2023,4,0,Paid
PAY-TEN-BLDG_01-1A-001-05,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,5,May,01/05/2023,1200,1456.67,1456.67,813.34,05/05/2023,4,0,Paid
PAY-TEN-BLDG_01-1A-001-08,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,8,August,01/08/2023,1200,1456.67,1456.67,813.34,05/08/2023,4,0,Paid
PAY-TEN-BLDG_01-1A-001-04,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,4,April,01/04/2023,1200,1456.67,1456.67,813.34,10/04/2023,9,1,Paid
PAY-TEN-BLDG_01-1A-001-09,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,9,September,01/09/2023,1200,1456.67,1456.67,813.34,10/09/2023,9,1,Paid
PAY-TEN-BLDG_01-1A-001-07,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,7,July,01/07/2023,1200,1456.67,1456.67,813.34,13/07/2023,12,1,Paid
PAY-TEN-BLDG_01-1A-001-11,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,11,November,01/11/2023,1200,1456.67,0,2270.01,,31,1,No Payment
PAY-TEN-BLDG_01-1A-001-12,TEN-BLDG_01-1A-001,BLDG_01-1A,2023,12,December,01/12/2023,1200,1456.67,0,3726.68,,62,1,No Payment
PAY-TEN-BLDG_01-1B-002-02,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,2,February,01/02/2023,0,3122.93,3122.93,0,01/02/2023,0,0,Paid
PAY-TEN-BLDG_01-1B-002-05,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,5,May,01/05/2023,0,3122.93,3122.93,0,01/05/2023,0,0,Paid
PAY-TEN-BLDG_01-1B-002-01,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,1,January,01/01/2023,0,3122.93,3122.93,0,02/01/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-03,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,3,March,01/03/2023,0,3122.93,3122.93,0,02/03/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-07,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,7,July,01/07/2023,0,3122.93,3122.93,0,02/07/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-08,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,8,August,01/08/2023,0,3122.93,3122.93,0,02/08/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-09,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,9,September,01/09/2023,0,3122.93,3122.93,0,02/09/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-10,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,10,October,01/10/2023,0,3122.93,3122.93,0,02/10/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-11,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,11,November,01/11/2023,0,3122.93,3122.93,0,02/11/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-12,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,12,December,01/12/2023,0,3122.93,3122.93,0,02/12/2023,1,0,Paid
PAY-TEN-BLDG_01-1B-002-06,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,6,June,01/06/2023,0,3122.93,3122.93,0,03/06/2023,2,0,Paid
PAY-TEN-BLDG_01-1B-002-04,TEN-BLDG_01-1B-002,BLDG_01-1B,2023,4,April,01/04/2023,0,3122.93,3122.93,0,04/04/2023,3,0,Paid
PAY-TEN-BLDG_01-1C-003-01,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,1,January,01/01/2023,0,2084.22,2084.22,0,01/01/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-02,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,2,February,01/02/2023,0,2084.22,2084.22,0,01/02/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-03,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,3,March,01/03/2023,0,2084.22,2084.22,0,01/03/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-04,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,4,April,01/04/2023,0,2084.22,2084.22,0,01/04/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-05,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,5,May,01/05/2023,0,2084.22,2084.22,0,01/05/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-06,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,6,June,01/06/2023,0,2084.22,2084.22,0,01/06/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-07,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,7,July,01/07/2023,0,2084.22,2084.22,0,01/07/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-08,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,8,August,01/08/2023,0,2084.22,2084.22,0,01/08/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-09,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,9,September,01/09/2023,0,2084.22,2084.22,0,01/09/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-10,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,10,October,01/10/2023,0,2084.22,2084.22,0,01/10/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-11,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,11,November,01/11/2023,0,2084.22,2084.22,0,01/11/2023,0,0,Paid
PAY-TEN-BLDG_01-1C-003-12,TEN-BLDG_01-1C-003,BLDG_01-1C,2023,12,December,01/12/2023,0,2084.22,2084.22,0,01/12/2023,0,0,Paid
PAY-TEN-BLDG_01-1D-004-01,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,1,January,01/01/2023,0,819.54,819.54,0,03/01/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-03,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,3,March,01/03/2023,0,819.54,819.54,0,03/03/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-04,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,4,April,01/04/2023,0,819.54,819.54,0,03/04/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-05,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,5,May,01/05/2023,0,819.54,819.54,0,03/05/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-06,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,6,June,01/06/2023,0,819.54,819.54,0,03/06/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-07,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,7,July,01/07/2023,0,819.54,819.54,0,03/07/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-08,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,8,August,01/08/2023,0,819.54,819.54,0,03/08/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-09,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,9,September,01/09/2023,0,819.54,819.54,0,03/09/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-10,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,10,October,01/10/2023,0,819.54,819.54,0,03/10/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-11,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,11,November,01/11/2023,0,819.54,819.54,0,03/11/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-12,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,12,December,01/12/2023,0,819.54,819.54,0,03/12/2023,2,0,Paid
PAY-TEN-BLDG_01-1D-004-02,TEN-BLDG_01-1D-004,BLDG_01-1D,2023,2,February,01/02/2023,0,819.54,819.54,0,03/02/2023,0,0,Paid
PAY-TEN-BLDG_01-1E-005-01,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,1,January,01/01/2023,350,1616.94,1616.94,350,01/01/2023,0,0,Paid
PAY-TEN-BLDG_01-1E-005-02,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,2,February,01/02/2023,350,1616.94,1616.94,350,03/02/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-03,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,3,March,01/03/2023,350,1616.94,1616.94,350,03/03/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-05,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,5,May,01/05/2023,350,1616.94,1616.94,216.94,03/05/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-06,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,6,June,01/06/2023,350,1616.94,1616.94,216.94,03/06/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-07,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,7,July,01/07/2023,350,1616.94,1616.94,216.94,03/07/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-08,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,8,August,01/08/2023,350,1616.94,1800,33.88,03/08/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-09,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,9,September,01/09/2023,350,1616.94,1616.94,33.88,03/09/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-10,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,10,October,01/10/2023,350,1616.94,1616.94,33.88,03/10/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-11,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,11,November,01/11/2023,350,1616.94,1616.94,33.88,03/11/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-12,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,12,December,01/12/2023,350,1616.94,1616.94,33.88,03/12/2023,2,0,Paid
PAY-TEN-BLDG_01-1E-005-04,TEN-BLDG_01-1E-005,BLDG_01-1E,2023,4,April,01/04/2023,350,1616.94,1750,216.94,08/04/2023,7,1,Paid
PAY-TEN-BLDG_01-1F-006-01,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,1,January,01/01/2023,1410.92,1456.67,1456.67,1410.92,03/01/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-02,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,2,February,01/02/2023,1410.92,1456.67,1456.67,1410.92,03/02/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-03,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,3,March,01/03/2023,1410.92,1456.67,1456.67,1410.92,03/03/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-04,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,4,April,01/04/2023,1410.92,1456.67,1456.67,1410.92,03/04/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-05,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,5,May,01/05/2023,1410.92,1456.67,1456.67,1410.92,03/05/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-06,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,6,June,01/06/2023,1410.92,1456.67,0,2867.59,03/06/2023,2,0,No Payment
PAY-TEN-BLDG_01-1F-006-07,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,7,July,01/07/2023,1410.92,1456.67,1456.67,2867.59,03/07/2023,2,0,Paid
PAY-TEN-BLDG_01-1F-006-09,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,9,September,01/09/2023,1410.92,1456.67,2500,3280.93,03/10/2023,32,1,Paid
PAY-TEN-BLDG_01-1F-006-11,TEN-BLDG_01-1F-006,BLDG_01-1F,2023,11,November,01/11/2023,1410.92,1456.67,2000,2394.27,03/12/2023,32,1,Paid
