Tenant_ID,Unit_ID,Current_Rent,Regulation_Status,Income_Category,Occupancy_Years,Annual_Repair_Cost,Maintenance_Ratio,Low_Rent_Flag,Long_Tenure_Flag,Income_Adjustment,Low_Rent_Adjustment,Long_Tenure_Adjustment,Tenancy_Companion,FM_Turnover_Risk_Adjustment,Recommended_Increase_Percentage,New_Rent,Monthly_Increase,Annual_Revenue_Impact,Increase_Bucket
TEN-BLDG_01-1A-001,BLDG_01-1A,1456.67,Regulated Unit,Stable Income,3,1100,0.06,0,0,Stable Income,0,0,Standard,FALSE,0.02,1483.18,26.51,318.14,0%-2%
TEN-BLDG_01-1B-002,BLDG_01-1B,3122.93,Regulated Unit,High Income,4,0,0,0,0,High Income,0,0,Standard,FALSE,0.02,3179.77,56.84,682.05,0%-2%
TEN-BLDG_01-1C-003,BLDG_01-1C,2084.22,Regulated Unit,Strong Income,4,0,0,0,0,Strong Income,0,0,Standard,FALSE,0.02,2122.15,37.93,455.19,0%-2%
TEN-BLDG_01-1D-004,BLDG_01-1D,819.54,Regulated Unit,Strong Income,5,120,0.01,1,0,Strong Income,0.01,0,Standard,FALSE,0.03,842.65,23.11,277.33,2%-4%
TEN-BLDG_01-1E-005,BLDG_01-1E,837.41,Regulated Unit,Strong Income,6,90,0.01,1,0,Strong Income,0.01,0,Standard,FALSE,0.03,861.02,23.61,283.38,2%-4%
TEN-BLDG_01-1F-006,BLDG_01-1F,1985.93,Regulated Unit,High Income,7,390,0.02,0,0,High Income,0,0,Standard,FALSE,0.02,2022.07,36.14,433.73,0%-2%
TEN-BLDG_01-1G-007,BLDG_01-1G,1616.94,Regulated Unit,High Income,4,150,0.01,0,0,High Income,0,0,Standard,FALSE,0.02,1646.37,29.43,353.14,0%-2%
TEN-BLDG_01-1H-008,BLDG_01-1H,1410.92,Regulated Unit,Strong Income,6,0,0,0,0,Strong Income,0,0,Standard,FALSE,0.02,1436.6,25.68,308.14,0%-2%
TEN-BLDG_01-1J-009,BLDG_01-1J,2323,Regulated Unit,Strong Income,5,0,0,0,0,Strong Income,0,0,Standard,FALSE,0.02,2365.28,42.28,507.34,0%-2%
TEN-BLDG_01-1K-010,BLDG_01-1K,3091.56,Regulated Unit,Strong Income,8,0,0,0,0,Strong Income,0,0,Standard,FALSE,0.02,3147.83,56.27,675.2,0%-2%
